╔═══════════════════════════════════════════════════════════════════╗
║  Aurora MySQL vs PostgreSQL — 30-Minute Stress Test             ║
║  Instance: db.r7g.4xlarge | 1 Writer + 2 Readers per engine    ║
║  Rates: 200 400 1000 MB/s | Duration: 240s per test         ║
║  Started: Thu Mar 12 04:12:45 UTC 2026                               ║
╚═══════════════════════════════════════════════════════════════════╝

Checking connectivity...
  PG Writer: OK
  PG Reader: OK
  MySQL Writer: OK
  MySQL Reader: OK

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  TESTING AT 200 MB/s
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

>>> postgresql @ 200 MB/s (240s)

[2026-03-12T04:12:45.755056] Starting postgresql benchmark at 200 MB/s with 16 workers for 240s
[PostgreSQL] Created benchmark_data on aurora-bench-pg.cluster-chmyywwu8h83.us-east-2.rds.amazonaws.com

==========================================================================================
  POSTGRESQL BENCHMARK  |  Target: 200 MB/s  |  Duration: 240s
==========================================================================================
  Time |  Instant MB/s |   Avg MB/s |     Rows/s |    Total Rows |  Total GB |  Errors
  223s |      141.9 MB/s |   154.6 MB/s |     85,000 |    20,660,000 |   33.67 GB |       0
  224s |      158.5 MB/s |   154.6 MB/s |     95,000 |    20,755,000 |   33.83 GB |       0
  225s |      150.2 MB/s |   154.6 MB/s |     90,000 |    20,845,000 |   33.97 GB |       0
  226s |      141.9 MB/s |   154.5 MB/s |     85,000 |    20,930,000 |   34.11 GB |       0
  227s |      158.5 MB/s |   154.6 MB/s |     95,000 |    21,025,000 |   34.27 GB |       0
  228s |      150.2 MB/s |   154.5 MB/s |     90,000 |    21,115,000 |   34.41 GB |       0
  229s |      175.2 MB/s |   154.6 MB/s |    105,000 |    21,220,000 |   34.58 GB |       0
  230s |      166.9 MB/s |   154.7 MB/s |    100,000 |    21,320,000 |   34.75 GB |       0
  231s |      166.9 MB/s |   154.7 MB/s |    100,000 |    21,420,000 |   34.91 GB |       0
  232s |      166.9 MB/s |   154.8 MB/s |    100,000 |    21,520,000 |   35.07 GB |       0
  233s |      150.2 MB/s |   154.8 MB/s |     90,000 |    21,610,000 |   35.22 GB |       0
  234s |      150.2 MB/s |   154.8 MB/s |     90,000 |    21,700,000 |   35.37 GB |       0
  235s |      150.2 MB/s |   154.7 MB/s |     90,000 |    21,790,000 |   35.51 GB |       0
  236s |      150.2 MB/s |   154.7 MB/s |     90,000 |    21,880,000 |   35.66 GB |       0
  237s |      166.9 MB/s |   154.8 MB/s |    100,000 |    21,980,000 |   35.82 GB |       0
  238s |      141.9 MB/s |   154.7 MB/s |     85,000 |    22,065,000 |   35.96 GB |       0
  239s |      158.5 MB/s |   154.7 MB/s |     95,000 |    22,160,000 |   36.12 GB |       0
  240s |      133.5 MB/s |   154.6 MB/s |     80,000 |    22,240,000 |   36.25 GB |       0
  241s |      133.5 MB/s |   154.5 MB/s |     80,000 |    22,320,000 |   36.38 GB |       0

--- MYSQL SUMMARY ---
  Target:       200 MB/s
  Actual Avg:   154.5 MB/s  (77% of target)
  Total Data:   36.38 GB
  Total Rows:   22,320,000
  Errors:       0
  Duration:     241.0s
  Status:       DEGRADED


JSON_RESULT:{"engine": "mysql", "target_mbps": 200, "actual_mbps": 155.2, "achieved_pct": 77.6, "total_gb": 36.38, "total_rows": 22320000, "errors": 0, "duration_sec": 240, "workers": 16, "status": "DEGRADED", "timestamp": "2026-03-12T04:21:07.820749"}
Cooldown 15s...
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  TESTING AT 400 MB/s
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

>>> postgresql @ 400 MB/s (240s)

[2026-03-12T04:21:22.923200] Starting postgresql benchmark at 400 MB/s with 16 workers for 240s
[PostgreSQL] Created benchmark_data on aurora-bench-pg.cluster-chmyywwu8h83.us-east-2.rds.amazonaws.com

==========================================================================================
  POSTGRESQL BENCHMARK  |  Target: 400 MB/s  |  Duration: 240s
==========================================================================================
  Time |  Instant MB/s |   Avg MB/s |     Rows/s |    Total Rows |  Total GB |  Errors
--------------------------------------------------------------------------------------
    1s |       89.8 MB/s |    89.8 MB/s |     80,000 |        80,000 |    0.09 GB |       0
    2s |       89.8 MB/s |    89.8 MB/s |     80,000 |       160,000 |    0.18 GB |       0
    3s |       28.1 MB/s |    69.2 MB/s |     25,000 |       185,000 |    0.20 GB |       0
    4s |      168.4 MB/s |    94.0 MB/s |    150,000 |       335,000 |    0.37 GB |       0
    5s |       89.8 MB/s |    93.1 MB/s |     80,000 |       415,000 |    0.45 GB |       0
    6s |       16.8 MB/s |    80.4 MB/s |     15,000 |       430,000 |    0.47 GB |       0
    7s |      179.6 MB/s |    94.6 MB/s |    160,000 |       590,000 |    0.65 GB |       0
    8s |       95.4 MB/s |    94.7 MB/s |     85,000 |       675,000 |    0.74 GB |       0
    9s |       39.3 MB/s |    88.5 MB/s |     35,000 |       710,000 |    0.78 GB |       0
   10s |      157.1 MB/s |    95.4 MB/s |    140,000 |       850,000 |    0.93 GB |       0
   11s |       89.8 MB/s |    94.9 MB/s |     80,000 |       930,000 |    1.02 GB |       0
   12s |       89.8 MB/s |    94.5 MB/s |     80,000 |     1,010,000 |    1.11 GB |       0
   13s |       89.8 MB/s |    94.1 MB/s |     80,000 |     1,090,000 |    1.19 GB |       0
   14s |      101.0 MB/s |    94.6 MB/s |     90,000 |     1,180,000 |    1.29 GB |       0
   15s |       89.8 MB/s |    94.3 MB/s |     80,000 |     1,260,000 |    1.38 GB |       0
   16s |       89.8 MB/s |    94.0 MB/s |     80,000 |     1,340,000 |    1.47 GB |       0
   17s |       95.4 MB/s |    94.1 MB/s |     85,000 |     1,425,000 |    1.56 GB |       0
   18s |      117.8 MB/s |    95.4 MB/s |    105,000 |     1,530,000 |    1.68 GB |       0
   19s |       89.8 MB/s |    95.1 MB/s |     80,000 |     1,610,000 |    1.76 GB |       0
   20s |       89.8 MB/s |    94.8 MB/s |     80,000 |     1,690,000 |    1.85 GB |       0
   21s |       89.8 MB/s |    94.6 MB/s |     80,000 |     1,770,000 |    1.94 GB |       0
   22s |      117.8 MB/s |    95.6 MB/s |    105,000 |     1,875,000 |    2.06 GB |       0
   23s |       73.0 MB/s |    94.7 MB/s |     65,000 |     1,940,000 |    2.13 GB |       0
   24s |      174.0 MB/s |    98.0 MB/s |    155,000 |     2,095,000 |    2.30 GB |       0
   25s |       89.8 MB/s |    97.6 MB/s |     80,000 |     2,175,000 |    2.38 GB |       0
   26s |       89.8 MB/s |    97.3 MB/s |     80,000 |     2,255,000 |    2.47 GB |       0
   27s |       89.8 MB/s |    97.1 MB/s |     80,000 |     2,335,000 |    2.56 GB |       0
   28s |      117.8 MB/s |    97.8 MB/s |    105,000 |     2,440,000 |    2.67 GB |       0
   29s |       89.8 MB/s |    97.5 MB/s |     80,000 |     2,520,000 |    2.76 GB |       0
   30s |       89.8 MB/s |    97.3 MB/s |     80,000 |     2,600,000 |    2.85 GB |       0
   31s |      179.6 MB/s |    99.9 MB/s |    160,000 |     2,760,000 |    3.03 GB |       0
   32s |       89.8 MB/s |    99.6 MB/s |     80,000 |     2,840,000 |    3.11 GB |       0
   33s |       89.8 MB/s |    99.3 MB/s |     80,000 |     2,920,000 |    3.20 GB |       0
   34s |      123.5 MB/s |   100.0 MB/s |    110,000 |     3,030,000 |    3.32 GB |       0
   35s |       89.8 MB/s |    99.7 MB/s |     80,000 |     3,110,000 |    3.41 GB |       0
   36s |      101.0 MB/s |    99.8 MB/s |     90,000 |     3,200,000 |    3.51 GB |       0
   37s |       84.2 MB/s |    99.3 MB/s |     75,000 |     3,275,000 |    3.59 GB |       0
   38s |      174.0 MB/s |   101.3 MB/s |    155,000 |     3,430,000 |    3.76 GB |       0
   39s |       89.8 MB/s |   101.0 MB/s |     80,000 |     3,510,000 |    3.85 GB |       0
   40s |       95.4 MB/s |   100.9 MB/s |     85,000 |     3,595,000 |    3.94 GB |       0
   41s |       28.1 MB/s |    99.1 MB/s |     25,000 |     3,620,000 |    3.97 GB |       0
   42s |      174.0 MB/s |   100.9 MB/s |    155,000 |     3,775,000 |    4.14 GB |       0
   43s |       11.2 MB/s |    98.8 MB/s |     10,000 |     3,785,000 |    4.15 GB |       0
   44s |      134.7 MB/s |    99.6 MB/s |    120,000 |     3,905,000 |    4.28 GB |       0
   45s |       78.6 MB/s |    99.1 MB/s |     70,000 |     3,975,000 |    4.36 GB |       0
   46s |      151.5 MB/s |   100.3 MB/s |    135,000 |     4,110,000 |    4.50 GB |       0
   47s |       89.8 MB/s |   100.0 MB/s |     80,000 |     4,190,000 |    4.59 GB |       0
   48s |       89.8 MB/s |    99.8 MB/s |     80,000 |     4,270,000 |    4.68 GB |       0
   49s |       89.8 MB/s |    99.6 MB/s |     80,000 |     4,350,000 |    4.77 GB |       0
   50s |       95.4 MB/s |    99.5 MB/s |     85,000 |     4,435,000 |    4.86 GB |       0
   51s |       84.2 MB/s |    99.2 MB/s |     75,000 |     4,510,000 |    4.94 GB |       0
   52s |      179.6 MB/s |   100.8 MB/s |    160,000 |     4,670,000 |    5.12 GB |       0
   53s |       89.8 MB/s |   100.6 MB/s |     80,000 |     4,750,000 |    5.21 GB |       0
   54s |       89.8 MB/s |   100.4 MB/s |     80,000 |     4,830,000 |    5.29 GB |       0
   55s |       89.8 MB/s |   100.2 MB/s |     80,000 |     4,910,000 |    5.38 GB |       0
   56s |      101.0 MB/s |   100.2 MB/s |     90,000 |     5,000,000 |    5.48 GB |       0
   57s |       95.4 MB/s |   100.1 MB/s |     85,000 |     5,085,000 |    5.57 GB |       0
   58s |      112.2 MB/s |   100.3 MB/s |    100,000 |     5,185,000 |    5.68 GB |       0
   59s |       73.0 MB/s |    99.9 MB/s |     65,000 |     5,250,000 |    5.75 GB |       0
   60s |      179.6 MB/s |   101.2 MB/s |    160,000 |     5,410,000 |    5.93 GB |       0
   61s |       89.8 MB/s |   101.0 MB/s |     80,000 |     5,490,000 |    6.02 GB |       0
   62s |       89.8 MB/s |   100.8 MB/s |     80,000 |     5,570,000 |    6.11 GB |       0
   63s |       89.8 MB/s |   100.6 MB/s |     80,000 |     5,650,000 |    6.19 GB |       0
   64s |      112.2 MB/s |   100.8 MB/s |    100,000 |     5,750,000 |    6.30 GB |       0
   65s |       95.4 MB/s |   100.7 MB/s |     85,000 |     5,835,000 |    6.40 GB |       0
   66s |      123.5 MB/s |   101.1 MB/s |    110,000 |     5,945,000 |    6.52 GB |       0
   67s |       61.7 MB/s |   100.5 MB/s |     55,000 |     6,000,000 |    6.58 GB |       0
   68s |      145.9 MB/s |   101.2 MB/s |    130,000 |     6,130,000 |    6.72 GB |       0
   69s |       73.0 MB/s |   100.8 MB/s |     65,000 |     6,195,000 |    6.79 GB |       0
   70s |      129.1 MB/s |   101.2 MB/s |    115,000 |     6,310,000 |    6.92 GB |       0
   71s |      106.6 MB/s |   101.2 MB/s |     95,000 |     6,405,000 |    7.02 GB |       0
   72s |       89.8 MB/s |   101.1 MB/s |     80,000 |     6,485,000 |    7.11 GB |       0
   73s |       89.8 MB/s |   100.9 MB/s |     80,000 |     6,565,000 |    7.20 GB |       0
   74s |      101.0 MB/s |   100.9 MB/s |     90,000 |     6,655,000 |    7.29 GB |       0
   75s |       89.8 MB/s |   100.8 MB/s |     80,000 |     6,735,000 |    7.38 GB |       0
   76s |      179.6 MB/s |   101.8 MB/s |    160,000 |     6,895,000 |    7.56 GB |       0
   77s |       89.8 MB/s |   101.7 MB/s |     80,000 |     6,975,000 |    7.65 GB |       0
   78s |       89.8 MB/s |   101.5 MB/s |     80,000 |     7,055,000 |    7.73 GB |       0
   79s |       89.8 MB/s |   101.4 MB/s |     80,000 |     7,135,000 |    7.82 GB |       0
   80s |      123.5 MB/s |   101.6 MB/s |    110,000 |     7,245,000 |    7.94 GB |       0
   81s |       61.7 MB/s |   101.1 MB/s |     55,000 |     7,300,000 |    8.00 GB |       0
   82s |      123.5 MB/s |   101.4 MB/s |    110,000 |     7,410,000 |    8.12 GB |       0
   83s |       61.7 MB/s |   100.9 MB/s |     55,000 |     7,465,000 |    8.18 GB |       0
   84s |      145.9 MB/s |   101.5 MB/s |    130,000 |     7,595,000 |    8.32 GB |       0
   85s |      106.6 MB/s |   101.5 MB/s |     95,000 |     7,690,000 |    8.43 GB |       0
   86s |      106.6 MB/s |   101.6 MB/s |     95,000 |     7,785,000 |    8.53 GB |       0
   87s |       89.8 MB/s |   101.5 MB/s |     80,000 |     7,865,000 |    8.62 GB |       0
   88s |      101.0 MB/s |   101.4 MB/s |     90,000 |     7,955,000 |    8.72 GB |       0
   89s |       89.8 MB/s |   101.3 MB/s |     80,000 |     8,035,000 |    8.81 GB |       0
   90s |       95.4 MB/s |   101.3 MB/s |     85,000 |     8,120,000 |    8.90 GB |       0
   91s |       84.2 MB/s |   101.1 MB/s |     75,000 |     8,195,000 |    8.98 GB |       0
   92s |      117.8 MB/s |   101.2 MB/s |    105,000 |     8,300,000 |    9.10 GB |       0
   93s |      151.5 MB/s |   101.8 MB/s |    135,000 |     8,435,000 |    9.25 GB |       0
   94s |       89.8 MB/s |   101.7 MB/s |     80,000 |     8,515,000 |    9.33 GB |       0
   95s |      101.0 MB/s |   101.7 MB/s |     90,000 |     8,605,000 |    9.43 GB |       0
   96s |      134.7 MB/s |   102.0 MB/s |    120,000 |     8,725,000 |    9.56 GB |       0
   97s |       89.8 MB/s |   101.9 MB/s |     80,000 |     8,805,000 |    9.65 GB |       0
   98s |       95.4 MB/s |   101.8 MB/s |     85,000 |     8,890,000 |    9.74 GB |       0
   99s |       78.6 MB/s |   101.6 MB/s |     70,000 |     8,960,000 |    9.82 GB |       0
  100s |      134.7 MB/s |   101.9 MB/s |    120,000 |     9,080,000 |    9.95 GB |       0
  101s |       89.8 MB/s |   101.8 MB/s |     80,000 |     9,160,000 |   10.04 GB |       0
  102s |       89.8 MB/s |   101.7 MB/s |     80,000 |     9,240,000 |   10.13 GB |       0
  103s |       89.8 MB/s |   101.5 MB/s |     80,000 |     9,320,000 |   10.22 GB |       0
  104s |      117.8 MB/s |   101.7 MB/s |    105,000 |     9,425,000 |   10.33 GB |       0
  105s |       89.8 MB/s |   101.6 MB/s |     80,000 |     9,505,000 |   10.42 GB |       0
  106s |      101.0 MB/s |   101.6 MB/s |     90,000 |     9,595,000 |   10.52 GB |       0
  107s |       78.6 MB/s |   101.4 MB/s |     70,000 |     9,665,000 |   10.59 GB |       0
  108s |      179.6 MB/s |   102.1 MB/s |    160,000 |     9,825,000 |   10.77 GB |       0
  109s |       89.8 MB/s |   102.0 MB/s |     80,000 |     9,905,000 |   10.86 GB |       0
  110s |       89.8 MB/s |   101.9 MB/s |     80,000 |     9,985,000 |   10.94 GB |       0
  111s |       89.8 MB/s |   101.8 MB/s |     80,000 |    10,065,000 |   11.03 GB |       0
  112s |      101.0 MB/s |   101.8 MB/s |     90,000 |    10,155,000 |   11.13 GB |       0
  113s |       95.4 MB/s |   101.7 MB/s |     85,000 |    10,240,000 |   11.22 GB |       0
  114s |      106.6 MB/s |   101.7 MB/s |     95,000 |    10,335,000 |   11.33 GB |       0
  115s |       78.6 MB/s |   101.5 MB/s |     70,000 |    10,405,000 |   11.40 GB |       0
  116s |      179.6 MB/s |   102.2 MB/s |    160,000 |    10,565,000 |   11.58 GB |       0
  117s |       89.8 MB/s |   102.1 MB/s |     80,000 |    10,645,000 |   11.67 GB |       0
  118s |       89.8 MB/s |   102.0 MB/s |     80,000 |    10,725,000 |   11.76 GB |       0
  119s |       89.8 MB/s |   101.9 MB/s |     80,000 |    10,805,000 |   11.84 GB |       0
  120s |      106.6 MB/s |   101.9 MB/s |     95,000 |    10,900,000 |   11.95 GB |       0
  121s |       89.8 MB/s |   101.8 MB/s |     80,000 |    10,980,000 |   12.03 GB |       0
  122s |       89.8 MB/s |   101.7 MB/s |     80,000 |    11,060,000 |   12.12 GB |       0
  123s |       89.8 MB/s |   101.6 MB/s |     80,000 |    11,140,000 |   12.21 GB |       0
  124s |       95.4 MB/s |   101.6 MB/s |     85,000 |    11,225,000 |   12.30 GB |       0
  125s |       89.8 MB/s |   101.5 MB/s |     80,000 |    11,305,000 |   12.39 GB |       0
  126s |      174.0 MB/s |   102.1 MB/s |    155,000 |    11,460,000 |   12.56 GB |       0
  127s |       89.8 MB/s |   102.0 MB/s |     80,000 |    11,540,000 |   12.65 GB |       0
  128s |       89.8 MB/s |   101.9 MB/s |     80,000 |    11,620,000 |   12.74 GB |       0
  129s |       89.8 MB/s |   101.8 MB/s |     80,000 |    11,700,000 |   12.82 GB |       0
  130s |      112.2 MB/s |   101.9 MB/s |    100,000 |    11,800,000 |   12.93 GB |       0
  131s |       89.8 MB/s |   101.8 MB/s |     80,000 |    11,880,000 |   13.02 GB |       0
  132s |      112.2 MB/s |   101.9 MB/s |    100,000 |    11,980,000 |   13.13 GB |       0
  133s |       73.0 MB/s |   101.6 MB/s |     65,000 |    12,045,000 |   13.20 GB |       0
  134s |      179.6 MB/s |   102.2 MB/s |    160,000 |    12,205,000 |   13.38 GB |       0
  135s |       89.8 MB/s |   102.1 MB/s |     80,000 |    12,285,000 |   13.47 GB |       0
  136s |       89.8 MB/s |   102.0 MB/s |     80,000 |    12,365,000 |   13.55 GB |       0
  137s |       89.8 MB/s |   101.9 MB/s |     80,000 |    12,445,000 |   13.64 GB |       0
  138s |       89.8 MB/s |   101.9 MB/s |     80,000 |    12,525,000 |   13.73 GB |       0
  139s |       89.8 MB/s |   101.8 MB/s |     80,000 |    12,605,000 |   13.82 GB |       0
  140s |      101.0 MB/s |   101.8 MB/s |     90,000 |    12,695,000 |   13.91 GB |       0
  141s |       84.2 MB/s |   101.6 MB/s |     75,000 |    12,770,000 |   14.00 GB |       0
  142s |      179.6 MB/s |   102.2 MB/s |    160,000 |    12,930,000 |   14.17 GB |       0
  143s |       89.8 MB/s |   102.1 MB/s |     80,000 |    13,010,000 |   14.26 GB |       0
  144s |       39.3 MB/s |   101.7 MB/s |     35,000 |    13,045,000 |   14.30 GB |       0
  145s |      101.0 MB/s |   101.7 MB/s |     90,000 |    13,135,000 |   14.40 GB |       0
  146s |       89.8 MB/s |   101.6 MB/s |     80,000 |    13,215,000 |   14.48 GB |       0
  147s |       89.8 MB/s |   101.5 MB/s |     80,000 |    13,295,000 |   14.57 GB |       0
  148s |      101.0 MB/s |   101.5 MB/s |     90,000 |    13,385,000 |   14.67 GB |       0
  149s |       89.8 MB/s |   101.4 MB/s |     80,000 |    13,465,000 |   14.76 GB |       0
  150s |      174.0 MB/s |   101.9 MB/s |    155,000 |    13,620,000 |   14.93 GB |       0
  151s |       89.8 MB/s |   101.8 MB/s |     80,000 |    13,700,000 |   15.02 GB |       0
  152s |       89.8 MB/s |   101.7 MB/s |     80,000 |    13,780,000 |   15.10 GB |       0
  153s |       89.8 MB/s |   101.7 MB/s |     80,000 |    13,860,000 |   15.19 GB |       0
  154s |      112.2 MB/s |   101.7 MB/s |    100,000 |    13,960,000 |   15.30 GB |       0
  155s |       89.8 MB/s |   101.7 MB/s |     80,000 |    14,040,000 |   15.39 GB |       0
  156s |      117.8 MB/s |   101.8 MB/s |    105,000 |    14,145,000 |   15.50 GB |       0
  157s |      145.9 MB/s |   102.0 MB/s |    130,000 |    14,275,000 |   15.65 GB |       0
  158s |       95.4 MB/s |   102.0 MB/s |     85,000 |    14,360,000 |   15.74 GB |       0
  159s |       89.8 MB/s |   101.9 MB/s |     80,000 |    14,440,000 |   15.83 GB |       0
  160s |      106.6 MB/s |   101.9 MB/s |     95,000 |    14,535,000 |   15.93 GB |       0
  161s |       61.7 MB/s |   101.7 MB/s |     55,000 |    14,590,000 |   15.99 GB |       0
  162s |      117.9 MB/s |   101.8 MB/s |    105,000 |    14,695,000 |   16.11 GB |       0
  163s |       61.7 MB/s |   101.6 MB/s |     55,000 |    14,750,000 |   16.17 GB |       0
  164s |      179.6 MB/s |   102.0 MB/s |    160,000 |    14,910,000 |   16.34 GB |       0
  165s |       89.8 MB/s |   102.0 MB/s |     80,000 |    14,990,000 |   16.43 GB |       0
  166s |       50.5 MB/s |   101.6 MB/s |     45,000 |    15,035,000 |   16.48 GB |       0
  167s |      106.6 MB/s |   101.7 MB/s |     95,000 |    15,130,000 |   16.58 GB |       0
  168s |       73.0 MB/s |   101.5 MB/s |     65,000 |    15,195,000 |   16.65 GB |       0
  169s |       95.4 MB/s |   101.5 MB/s |     85,000 |    15,280,000 |   16.75 GB |       0
  170s |      112.2 MB/s |   101.5 MB/s |    100,000 |    15,380,000 |   16.86 GB |       0
  171s |       89.8 MB/s |   101.5 MB/s |     80,000 |    15,460,000 |   16.95 GB |       0
  172s |      168.4 MB/s |   101.9 MB/s |    150,000 |    15,610,000 |   17.11 GB |       0
  173s |       89.8 MB/s |   101.8 MB/s |     80,000 |    15,690,000 |   17.20 GB |       0
  174s |       89.8 MB/s |   101.7 MB/s |     80,000 |    15,770,000 |   17.28 GB |       0
  175s |       89.8 MB/s |   101.6 MB/s |     80,000 |    15,850,000 |   17.37 GB |       0
  176s |      101.0 MB/s |   101.6 MB/s |     90,000 |    15,940,000 |   17.47 GB |       0
  177s |       95.4 MB/s |   101.6 MB/s |     85,000 |    16,025,000 |   17.56 GB |       0
  178s |      101.0 MB/s |   101.6 MB/s |     90,000 |    16,115,000 |   17.66 GB |       0
  179s |       84.2 MB/s |   101.5 MB/s |     75,000 |    16,190,000 |   17.75 GB |       0
  180s |      179.6 MB/s |   101.9 MB/s |    160,000 |    16,350,000 |   17.92 GB |       0
  181s |       89.8 MB/s |   101.9 MB/s |     80,000 |    16,430,000 |   18.01 GB |       0
  182s |       89.8 MB/s |   101.8 MB/s |     80,000 |    16,510,000 |   18.10 GB |       0
  183s |       89.8 MB/s |   101.7 MB/s |     80,000 |    16,590,000 |   18.18 GB |       0
  184s |      101.0 MB/s |   101.7 MB/s |     90,000 |    16,680,000 |   18.28 GB |       0
  185s |       89.8 MB/s |   101.7 MB/s |     80,000 |    16,760,000 |   18.37 GB |       0
  186s |       89.8 MB/s |   101.6 MB/s |     80,000 |    16,840,000 |   18.46 GB |       0
  187s |       89.8 MB/s |   101.5 MB/s |     80,000 |    16,920,000 |   18.55 GB |       0
  188s |      179.6 MB/s |   102.0 MB/s |    160,000 |    17,080,000 |   18.72 GB |       0
  189s |       89.8 MB/s |   101.9 MB/s |     80,000 |    17,160,000 |   18.81 GB |       0
  190s |       61.7 MB/s |   101.7 MB/s |     55,000 |    17,215,000 |   18.87 GB |       0
  191s |      117.9 MB/s |   101.8 MB/s |    105,000 |    17,320,000 |   18.98 GB |       0
  192s |       67.3 MB/s |   101.6 MB/s |     60,000 |    17,380,000 |   19.05 GB |       0
  193s |       95.4 MB/s |   101.6 MB/s |     85,000 |    17,465,000 |   19.14 GB |       0
  194s |      117.8 MB/s |   101.6 MB/s |    105,000 |    17,570,000 |   19.26 GB |       0
  195s |       73.0 MB/s |   101.5 MB/s |     65,000 |    17,635,000 |   19.33 GB |       0
  196s |      117.8 MB/s |   101.6 MB/s |    105,000 |    17,740,000 |   19.44 GB |       0
  197s |       89.8 MB/s |   101.5 MB/s |     80,000 |    17,820,000 |   19.53 GB |       0
  198s |       89.8 MB/s |   101.5 MB/s |     80,000 |    17,900,000 |   19.62 GB |       0
  199s |       89.8 MB/s |   101.4 MB/s |     80,000 |    17,980,000 |   19.71 GB |       0
  200s |      106.6 MB/s |   101.4 MB/s |     95,000 |    18,075,000 |   19.81 GB |       0
  201s |      162.7 MB/s |   101.7 MB/s |    145,000 |    18,220,000 |   19.97 GB |       0
  202s |       89.8 MB/s |   101.7 MB/s |     80,000 |    18,300,000 |   20.06 GB |       0
  203s |       89.8 MB/s |   101.6 MB/s |     80,000 |    18,380,000 |   20.15 GB |       0
  204s |       89.8 MB/s |   101.6 MB/s |     80,000 |    18,460,000 |   20.23 GB |       0
  205s |       89.8 MB/s |   101.5 MB/s |     80,000 |    18,540,000 |   20.32 GB |       0
  206s |      145.9 MB/s |   101.7 MB/s |    130,000 |    18,670,000 |   20.46 GB |       0
  207s |       50.5 MB/s |   101.5 MB/s |     45,000 |    18,715,000 |   20.51 GB |       0
  208s |      179.6 MB/s |   101.8 MB/s |    160,000 |    18,875,000 |   20.69 GB |       0
  209s |       89.8 MB/s |   101.8 MB/s |     80,000 |    18,955,000 |   20.78 GB |       0
  210s |       89.8 MB/s |   101.7 MB/s |     80,000 |    19,035,000 |   20.86 GB |       0
  211s |       89.8 MB/s |   101.7 MB/s |     80,000 |    19,115,000 |   20.95 GB |       0
  212s |       89.8 MB/s |   101.6 MB/s |     80,000 |    19,195,000 |   21.04 GB |       0
  213s |       89.8 MB/s |   101.6 MB/s |     80,000 |    19,275,000 |   21.13 GB |       0
  214s |       95.4 MB/s |   101.5 MB/s |     85,000 |    19,360,000 |   21.22 GB |       0
  215s |       95.4 MB/s |   101.5 MB/s |     85,000 |    19,445,000 |   21.31 GB |       0
  216s |      168.4 MB/s |   101.8 MB/s |    150,000 |    19,595,000 |   21.48 GB |       0
  217s |       89.8 MB/s |   101.8 MB/s |     80,000 |    19,675,000 |   21.57 GB |       0
  218s |       89.8 MB/s |   101.7 MB/s |     80,000 |    19,755,000 |   21.65 GB |       0
  219s |       95.4 MB/s |   101.7 MB/s |     85,000 |    19,840,000 |   21.75 GB |       0
  220s |      117.9 MB/s |   101.7 MB/s |    105,000 |    19,945,000 |   21.86 GB |       0
  221s |       89.8 MB/s |   101.7 MB/s |     80,000 |    20,025,000 |   21.95 GB |       0
  222s |       89.8 MB/s |   101.6 MB/s |     80,000 |    20,105,000 |   22.04 GB |       0
  223s |       89.8 MB/s |   101.6 MB/s |     80,000 |    20,185,000 |   22.12 GB |       0
  224s |      151.5 MB/s |   101.8 MB/s |    135,000 |    20,320,000 |   22.27 GB |       0
  225s |      117.9 MB/s |   101.9 MB/s |    105,000 |    20,425,000 |   22.39 GB |       0
  226s |       89.8 MB/s |   101.8 MB/s |     80,000 |    20,505,000 |   22.47 GB |       0
  227s |       89.8 MB/s |   101.8 MB/s |     80,000 |    20,585,000 |   22.56 GB |       0
  228s |       95.4 MB/s |   101.7 MB/s |     85,000 |    20,670,000 |   22.66 GB |       0
  229s |       89.8 MB/s |   101.7 MB/s |     80,000 |    20,750,000 |   22.74 GB |       0
  230s |       95.4 MB/s |   101.7 MB/s |     85,000 |    20,835,000 |   22.84 GB |       0
  231s |       84.2 MB/s |   101.6 MB/s |     75,000 |    20,910,000 |   22.92 GB |       0
  232s |      117.8 MB/s |   101.7 MB/s |    105,000 |    21,015,000 |   23.03 GB |       0
  233s |       89.8 MB/s |   101.6 MB/s |     80,000 |    21,095,000 |   23.12 GB |       0
  234s |      112.2 MB/s |   101.6 MB/s |    100,000 |    21,195,000 |   23.23 GB |       0
  235s |       33.7 MB/s |   101.4 MB/s |     30,000 |    21,225,000 |   23.26 GB |       0
  236s |      179.6 MB/s |   101.7 MB/s |    160,000 |    21,385,000 |   23.44 GB |       0
  237s |       89.8 MB/s |   101.6 MB/s |     80,000 |    21,465,000 |   23.53 GB |       0
  238s |       89.8 MB/s |   101.6 MB/s |     80,000 |    21,545,000 |   23.61 GB |       0
  239s |       89.8 MB/s |   101.5 MB/s |     80,000 |    21,625,000 |   23.70 GB |       0
  240s |      101.0 MB/s |   101.5 MB/s |     90,000 |    21,715,000 |   23.80 GB |       0
  241s |       89.8 MB/s |   101.5 MB/s |     80,000 |    21,795,000 |   23.89 GB |       0

--- POSTGRESQL SUMMARY ---
  Target:       400 MB/s
